# File: IEA_CCUS_Projects_Database_2025.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2025 https://www.iea.org/data-and-statistics/data-product/ccus-projects-database#
# Column types: ciccciiiicncncccc
# ----------
Project name,ID,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning/cancellation,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Sundsvall Korsta plant CCS,989,Sweden,"Liquid Wind, Sundsvall Energi",Capture,2023,2025,2026,,Planned,2,,0.063,Power and heat,Dedicated storage,,Europe
FlagshipTHREE Umea Dava plant,990,Sweden,"Liquid Wind, Umea Energi",CCU,2023,2025,2026,,Planned,,,0.136,Power and heat,Use,,Europe
Umea Dava plant CCS,991,Sweden,"Liquid Wind, Umea Energi",Capture,2023,2025,2026,,Planned,2,,0.094,Power and heat,Dedicated storage,,Europe
Waste to energy CCU to TES Wilhemshaven (unknown facility),994,Germany,"Aker Carbon Capture, TES",CCU,2023,,,,Planned,,0.4,0.4,Power and heat,Use,,Europe
Delaware Basin hub (Loving CCS hub) (TX),996,United States,Milestone carbon (Milestone Envrionmental services),Storage,2023,,,,Planned,,2,2,Storage,Dedicated storage,Delaware Basin project: Loving CCS hub (TX),North America
Tambak Lorok Gas-Fired Power Plant,998,Indonesia,"JERA, JGC Holdings, PLN",Full chain,2023,,,,Planned,,,,Power and heat,Unknown/unspecified,,Other Asia Pacific
Lake Charles low carbon ammonia (LA),999,United States,"Proman, Mitsubishi",Capture,2023,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Northern Gulf of Thailand CCS Exploration project,1000,Thailand,"PTTEP, INPEX (under cooperation between Thai Department of Mineral Fuels and JOGMEC)",Storage,2024,,,,Planned,,,,Storage,Dedicated storage,,Other Asia Pacific
"CO2NNECTION Central Appalachian Basin hub (OH, PA, WV)",1009,United States,Battelle,Transport,2023,,,,Planned,,,,Transport,Unknown/unspecified,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
"Appalachian basin storage MoU/Capio sequestration (OH, PA, WV)",1010,United States,"Battelle, Equinor",Storage,2022,,,,Planned,,,,Storage,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),1011,United States,"Overseas Shipholding Group, Inc.",Transport,2023,,,,Planned,,2,2,Transport,Unknown/unspecified,Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),North America
GeZero carbon capture project (Geseke),1012,Germany,"Heidelberg Materials, Wintershall Dea (Harbour Energy)",Capture,2023,2026,2029,,Planned,,0.76,0.76,Cement,Dedicated storage,CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Europe
Setouchi / Shikoku CO2 Hub Concept (capture sources under evaluation),1014,Japan-Australia,"Woodside Energy, Sumitomo Corporation, JFE Steel Corporation, Sumitomo Osaka Cement Co. Ltd, Kawasaki Kisen Kaisha Ltd.",Transport,2023,,,,Planned,,,,Transport,Dedicated storage,,Australia and New Zealand
Rumah1 and Rumah 2 plants,1015,Saudi Arabia,SPPC,Capture,2024,,,,Planned,,,2.718,Power and heat,Unknown/unspecified,,Middle East
Nairyah1 and Nairyah 2 plants,1016,Saudi Arabia,SPPC,Capture,2024,,,,Planned,,,2.718,Power and heat,Unknown/unspecified,,Middle East
Fife ethylene plant,1017,United Kingdom,"ExxonMobil, (Shell?)",Capture,2021,,,,Planned,,,,Chemicals,Dedicated storage,Acorn CCS,Europe
Acorn Isle of Grain to Peterhead shipping,1018,United Kingdom,"Acorn, Uniper",Transport,2023,,,,Planned,,2,2,Transport,Dedicated storage,Acorn CCS,Europe
Cormorant Clean Energy project (TX),1020,United States,"8 Rivers, Casale",Capture,2024,2025,2027,,Planned,,1.4,1.4,Hydrogen or ammonia,Dedicated storage,,North America
Polk county hub (TX),1021,United States,"1PointFive (Occidental), Natural Resource Partners",Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Polk county hub (TX),North America
West Java sea rig-to-CCS JSA,1022,Indonesia,"Pertamina, KNOC",Storage,2024,,,,Planned,,,,Storage,Dedicated storage,,Other Asia Pacific
Tarastenj rvi power (Tampere),1028,Finland,"RenGas, Tampereen Energia",CCU,2021,2025,2026,,Planned,,0.11,0.11,Power and heat,Use,,Europe
Kymij rvi power (Lahti),1029,Finland,"RenGas, Lahti Energia",CCU,2021,2025,2026,,Planned,,0.11,0.11,Power and heat,Use,,Europe
Kotka power (Kotka),1030,Finland,"RenGas, Kotkan Energia",CCU,2021,2025,2026,,Planned,,0.11,0.11,Power and heat,Use,,Europe
Aittaluoto power (Pori),1032,Finland,"RenGas, Pori Energia",CCU,2022,2025,2027,,Planned,,0.1,0.1,Power and heat,Use,,Europe
Adams Fork Energy clean ammonia project (WV),1033,United States,"Adams Fork Energy, the Flandreau Santee Sioux Tribe",Capture,2022,2025,2027,,Planned,,,3.402,Hydrogen or ammonia,Unknown/unspecified,,North America
Plock plant,1034,Poland,PKN Orlen,Capture,2023,,2027,,Planned,,1,1,Chemicals,Dedicated storage,ECO2CEE,Europe
Tumbler Ridge e-methanol project (BC),1036,Canada,"RH2C, CMC, West Moberly First Nations",CCU,2015,,2028,,Planned,,,0.233,Other industry,Use,,North America
Tumbler Ridge blue methanol project (BC),1037,Canada,"RH2C, CMC, West Moberly First Nations",Capture,2015,,2028,,Cancelled,,,,Hydrogen or ammonia,Dedicated storage,,North America
HIF Cabo Negro eFuels Facility,1038,Chile,HIF Chile,CCU,2021,,,,Planned,,0.23,0.23,Biofuels,Use,,Central and South America
HIF Paysand  eFuels Facility Alur bioethanol plant,1039,Uruguay,"HIF Urugay, Alur",CCU,2023,,2026,,Planned,,0.15,0.15,Biofuels,Use,,Central and South America
Broceni cement plant CCS,1042,Latvia,"Schwenk's Building Material Group, Capsol (feasibility)",Capture,2024,,2030,,Planned,,0.75 - 0.8,0.8,Cement,Dedicated storage,"CCS Baltic Consortium, Klapeida terminal",Europe
Linde Clear Lake HyCO Plant (TX),1043,United States,"Linde (CO2 capture on CO production site, CCU tech), Celanese (operator of methanol plant), Fairway methanol",CCU,2022,,2023,,Operational,,0.18,0.18,Chemicals,Use,,North America
Bell Bay Powerfuels project (TAS),1044,Australia,"ABEL Energy, Iberdrola Australia, Johnson Matthey (methanol synthesis), Sungas Renewables (biomass gasifier)",CCU,2020,,2027,,Planned,,,0.411,Power and heat,Use,,Australia and New Zealand
Stade facility Green Methanol,1045,Germany,Dow,CCU,2019,,,,Cancelled,,,0.274,Chemicals,Use,,Europe
Hynovera,1047,France,"HY2GEN, Gazel Energie",CCU,2023,2025,2028,,Planned,,,0.123,Power and heat,Use,,Europe
Venture Global CCS Cameron (LA),1048,United States,Venture Global,T&S,2021,,,,Planned,,1,1,T&S,Dedicated storage,Venture Global CCS Cameron (LA),North America
Pineywoods CCS hub (TX),1049,United States,Tenaska,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Pineywoods CCS hub (TX),North America
West bay storage Galveston (TX),1050,United States,BP carbon solutions,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,West bay storage Galveston (TX),North America
Baotou Steel (Baogang Group) (Inner Mongolia) phase 1,1053,People's Republic of China,Baotou Steel Group,Full chain,2022,2022,2025,,Under construction,1,0.5,0.5,Iron and steel,Unknown/unspecified,,Other Asia Pacific
Baotou Steel (Baogang Group) (Inner Mongolia) phase 2,1054,People's Republic of China,Baotou Steel Group,Full chain,2022,2022,2026,,Under construction,2,1.5,1.5,Iron and steel,Unknown/unspecified,,Other Asia Pacific
7 Blue Ammonia Facility,1055,Qatar,"QAFCO, thyssenkrupp Uhde/Consolidated Contractors Company (EPC)",Full chain,2022,2022,2026,,Under construction,,1.5,1.5,Hydrogen or ammonia,Unknown/unspecified,,Middle East
Great Plains Synfuel Plant to sequestration (ND),1058,United States,Dakota Gasification company,Full chain,2021,,,,Planned,2,1.5 - 2.13,1.5,Other fuel transformation,Dedicated storage,,North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 2,1059,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,,2027,,Planned,2,3,3,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 3,1060,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,,2029,,Planned,3,2-Jul,2,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Couldron cement plant,1065,United Kingdom,"Holcim Group(Aggregate Industries UK), Petrofac (feasibility), Capsol",Capture,2024,,2030,,Planned,,,0.54,Cement,Dedicated storage,Peak cluster transport/Morecambe Net Zero Cluster,Europe
Gwangyang LNG terminal blue hydrogen,1066,South Korea,"POSCO, ADNOC",Capture,2024,,2029,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
SEDAC hub (AL) phase 1,1067,United States,"Southern States Energy Board, AirCapture, 8Rivers",Capture,2023,,,,Planned,1,0.05,0.05,DAC,Dedicated storage,,North America
SEDAC hub (AL) phase 2,1068,United States,"Southern States Energy Board, AirCapture, 8Rivers",Capture,2023,,,,Planned,2,0.45,0.45,DAC,Dedicated storage,,North America
Thorning storage,1069,Denmark,Norne Thorning Storage ApS,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,,Europe
ENEOS MOL JX CO2 shipping,1070,Japan-Australia,"ENEOS Corporation, JX Nippon Oil & Gas Exploration Corporation, Electric Power Development Co.,Ltd. (J-POWER)",T&S,2023,,2030,,Planned,,,,T&S,Dedicated storage,Northern to Western Kyushu Offshore CCS,Other Asia Pacific
Big spring refinery (TX) pilot,1072,United States,"Delek, Svante",Capture,2024,,2028,,Planned,,0.145,0.145,Other fuel transformation,Unknown/unspecified,,North America
Vicksburg Containerboard Mill (MS),1073,United States,"RTI International, IP, SLB, Amazon",Capture,2024,,,,Planned,,0.12,0.12,Other industry,Unknown/unspecified,,North America
Edmonton Varme facility (ALB),1075,Canada,"Varme Energy, Gibson Energy, City of Edmonton, Canada Growth Fund",Capture,2024,,2027,,Planned,,0.185,0.185,Power and heat,Unknown/unspecified,,North America
Taiwan Cement Hoping oxyfuel pilot,1076,Chinese Taipei,"Taiwan cement, Thyssenkrupp Polysius",Capture,2024,,2026,,Planned,,0.1,0.1,Cement,Unknown/unspecified,,Other Asia Pacific
Project Hummingbird,1077,Kenya,"Octavia carbon, Cella Mineral",Full chain,,2024,2025,,Under construction,1,0.001,0.001,DAC,Dedicated storage,,Africa
Kredsl b Energipark Lisbjerg,1079,Denmark,Kredsl b,Capture,2023,,2030,,Planned,,0.36,0.36,Power and heat,Dedicated storage,,Europe
HOFOR Amagerv rket,1080,Denmark,Hofor,Capture,2021,,2030,,Planned,,0.9,0.9,Power and heat,Unknown/unspecified,,Europe
Equinor Mongstad refinery,1082,Norway,"Equinor, Aker Solutions",Capture,2024,,,,Planned,,,,Other fuel transformation,Dedicated storage,,Europe
Permian Regional Carbon Sequestration Hub (TX),1084,United States,Omnia midstream partners,T&S,2023,,,,Planned,,2,2,T&S,Unknown/unspecified,Permian Regional Carbon Sequestration Hub (TX),North America
Montauk Energy biogas plants (TX),1085,United States,"Montauk Renewables, EE North America (European Energy)",CCU,2023,,,,Planned,,0.14,0.14,Biofuels,Use,,North America
G rstaverket plant Linkoping,1087,Sweden,"Teniska Verken, Capsol Technologies (feasibility)",Capture,2024,,,,Planned,,0.25,0.25,Power and heat,Unknown/unspecified,,Europe
Celsio CCS project terminal,1088,Norway,"Hafslund Oslo Celsio (formerly Fortum Oslo Varme), Aker solutions (FEED)",Transport,2016,,2029,,Planned,,0.4,0.4,Transport,Dedicated storage,Northern Lights,Europe
Veolia EfW to fuels,1090,United Kingdom,Veolia,CCU,2024,,2030,,Planned,,,,Power and heat,Use,,Europe
Tomakomai area CCS - Hokkaido Electric Tomatouatsuma power station,1091,Japan,Hokkaido Electric Power,Capture,2023,,2030,,Planned,,,,Power and heat,Dedicated storage,Tomakomai area CCS,Other Asia Pacific
Tomakomai area CCS - Idemitsu Kosan Hokkaido Refinery,1092,Japan,Idemitsu,Capture,2023,,2030,,Planned,,,,Other fuel transformation,Dedicated storage,Tomakomai area CCS,Other Asia Pacific
Everest,1093,Germany,"Lhoist, Air Liquide",Capture,2023,,2029,,Planned,,1,1,Cement,Dedicated storage,,Europe
Ecapt-Rhone LeTeil,1094,France,"Elyse Energy, Holcim Group, Air Liquide",CCU,2023,,2028,,Planned,,0.2,0.2,Cement,Use,,Europe
OCAP,1096,Netherlands,OCAP (Linde),Transport,2005,,2005,,Operational,,0.5,0.5,Transport,Use,,Europe
Aker Carbon Capture power plant Europe (unknown facilities),1097,Unknown,"Aker Carbon Capture, unknown company",Capture,2023,,,,Planned,,14,14,Power and heat,Unknown/unspecified,,Unknown
Aker Carbon Capture WtE e-fuels,1098,Finland,"Aker Carbon Capture, unknown company",CCU,2023,,,,Planned,,0.1,0.1,Power and heat,Use,,Europe
Aker Carbon Capture Biomass CHP (unknown facility),1099,Germany,"Aker Carbon Capture, unknown company",Capture,2023,,,,Planned,,0.25,0.25,Power and heat,Unknown/unspecified,,Europe
Aker Carbon Capture Swedish energy company (unknown),1100,Sweden,"Aker Carbon Capture, unknown company",Capture,2023,,,,Planned,,0.2,0.2,Power and heat,Unknown/unspecified,,Europe
Vattenfall Jordbro CHP plant,1101,Sweden,"Vattenfall, Aker Carbon Capture",Capture,2023,,,,Cancelled,,0.4,0.4,Power and heat,Unknown/unspecified,,Europe
Aker Carbon Capture waste to energy Northern Europe (unknown facility),1102,Unknown,"Aker Carbon Capture, unknown company",Capture,2024,,,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
Cliff Head CCS Project,1103,Australia,"Pilot Energy
",Storage,2021,,2026,,Planned,,1,1,Storage,Dedicated storage,Cliff Head CCS Project,Australia and New Zealand
Aker Carbon Capture refinery (unknown facility),1103,United States,"Aker Carbon Capture, unknown company",Capture,2023,,,,Planned,,1.2,1.2,Other fuel transformation,Unknown/unspecified,,North America
Lighthouse Green Fuels,1104,United Kingdom,Alfanar,Capture,2021,,2028,,Planned,,,,Biofuels,Dedicated storage,Northern Endurance Partnership,Europe
Emerge CCS,1105,United Kingdom,"Uniper, Fortum",Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
North Lincolnshire NLGEP,1106,United Kingdom,Solar 21 Renewable Energy Limited,Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Altalto,1107,United Kingdom,Altalto Immingham Limited,Capture,2021,,,,Planned,,,,Biofuels,Dedicated storage,Northern Endurance Partnership,Europe
Seal Sands TGEPL,1108,United Kingdom,solar 21 Renewable Energy Limited,Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Saint-Gobain glass,1109,United Kingdom,Saint-gobain glass,Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,Northern Endurance Partnership,Europe
Connah's Quay Low Carbon Power Phase 1,1110,United Kingdom,"Uniper, Technip Energies(FEED)",Capture,2021,,2030,,Planned,1,1.2,1.2,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Eramet Sauda,1111,Norway,Eramet Norway,Capture,2023,,2030,,Planned,,0.26,0.26,Iron and steel,Dedicated storage,,Europe
Stakraft Varme Heimdal (Trondheim),1112,Norway,"Statkraft Varme, Aker Carbon Capture",Capture,2023,,2030,,Planned,,0.22,0.22,Power and heat,Dedicated storage,Northern Lights,Europe
Returkraft Kristiansand,1113,Norway,Returkraft,Capture,2023,,2030,,Planned,,0.13,0.13,Power and heat,Dedicated storage,,Europe
Grand Ouest CO2 (GOCO?) transport,1114,France,"Grand Ouest, GRT Gaz, Heidelberg Materials, Elengy, Lafarge, Lhoist, TotalEnergies",Transport,2023,2027,2030,,Planned,,2.6,2.6,Transport,Dedicated storage,GoCO2,Europe
Neau Lime plant,1115,France,Lhoist,Capture,2023,2027,2030,,Planned,,,1.6,Cement,Dedicated storage,GoCO2,Europe
Saint-Pierre-la-Cour cement plant,1116,France,Lafarge France (Holcim Group),Capture,2023,2027,2030,,Planned,,1,1,Cement,Dedicated storage,GoCO2,Europe
Shand,1117,Canada,Saskpower,Capture,2018,,,,Planned,,2,2,Power and heat,EOR,,North America
City of Estevan Power Plant (SK),1118,Canada,8 Rivers Capital and Net Power,Capture,2021,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
Crawford Nickel (ON),1119,Canada,Canada Nickel Company Inc.,Full chain,2023,2025,,,Planned,,1.5,1.5,Other industry,Use,,North America
Elmworth Gas Plant (AB),1120,Canada,Cenovus,Capture,2023,,,,Planned,,,,Natural gas processing/LNG,Unknown/unspecified,,North America
K+S Potash CCS (SK),1121,Canada,"K+S Potash Canada, Whitecap Resources",Capture,2023,,,,Planned,,,,Chemicals,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Lamont Carbon Hub (ALB),1122,Canada,"Wolf Midstream, Whitecap Resources, First Nation Capital Investment Partnership (FNCIP) and Heart Lake First Nation",Storage,2023,2025,2026,,Planned,,3-Feb,3,Storage,Dedicated storage,"Alberta Carbon Trunk Line (Transport), Lamont Carbon Hub (Storage)",North America
Lloydminster Upgrader,1123,Canada,Cenovus,Capture,2023,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,North America
Minnedosa Ethanol Plant (MB),1124,Canada,Cenovus,Full chain,2022,,,,Planned,,,,Biofuels,Unknown/unspecified,,North America
Moraine (GE) Power Generation (ALB),1125,Canada,Moraine Initiative Ltd (GE),Capture,2022,2025,2027,,Planned,,,,Power and heat,Dedicated storage,Athabasca Banks Carbon Hub (ALB),North America
Project Clear Horizon (ALB),1126,Canada,City of Medicine Hat,T&S,2022,,,,Cancelled,,3,3,T&S,Dedicated storage,Project Clear Horizon (ALB),North America
Duke Energy Edwardsport Integrated Gasification Combined Cycle plant (IN),1127,United States,"Duke Energy, DOE Office of Clean Energy Demonstrations",Capture,2023,,,,Planned,,3.6,3.6,Power and heat,Dedicated storage,,North America
Cypress Carbon Capture Project (LA),1128,United States,"Taft Carbon Capture, DOE Office of Clean Energy Demonstrations",Capture,2023,,,,Cancelled,,2.6,2.6,Power and heat,Dedicated storage,,North America
Ash Grove Cement Foreman Plant (AR),1129,United States,"Southern States Energy Board, DOE Office of Clean Energy Demonstrations",Full chain,2023,,2030,,Planned,,1.4,1.4,Cement,Dedicated storage,,North America
Lake Charles Power Station Integrated CO2 Capture Project (LA),1130,United States,"Entergy, Crescent Midstream,Talos Energy (Total Energies), DOE Office of Clean Energy Demonstrations",Full chain,2023,,2028,,Planned,,2.5,2.5,Power and heat,Dedicated storage,,North America
Four Corners Power Plant Integrated Carbon Capture and Storage (NM),1131,United States,"Navajo Transitional Energy Company, LLC (NTEC), DOE Office of Clean Energy Demonstrations",Full chain,2023,,,,Planned,,10,10,Power and heat,Dedicated storage,,North America
East Niigata area CCS - Tohoku Electric Power,1132,Japan,Tohoku Electric Power,Capture,2023,,2030,,Planned,,,,Power and heat,Dedicated storage,East Niigata area CCS,Other Asia Pacific
East Niigata area CCS - Mitsubshi gas chemical,1133,Japan,Mitsubishi Gas Chemical,Capture,2023,,2030,,Planned,,,,Chemicals,Dedicated storage,East Niigata area CCS,Other Asia Pacific
East Niigata area CCS - Hokuetsu pulp plant,1134,Japan,"Hokuetsu, Mistubishi Heavy Industries",Capture,2023,,2030,,Planned,,,,Other industry,Dedicated storage,East Niigata area CCS,Other Asia Pacific
Metropolitan Area CCS - Nippon steel plant,1135,Japan,"INPEX Corporation, Nippon Steel Corporation, Kanto Natural Gas Development Co., Ltd.",Capture,2023,,2030,,Planned,,,,Iron and steel,Dedicated storage,Metropolitan Area CCS,Other Asia Pacific
Northern to Western Kyushu Offshore CCS - Eneos refinery,1136,Japan,"Eneos Holdings, J-Power, JX",Full chain,2022,2026,2030,,Planned,,,,Other fuel transformation,Dedicated storage,Northern to Western Kyushu Offshore CCS,Other Asia Pacific
CO2NTESSA,1138,Croatia,"Nexe Group,  ThyssenKrupp Group, Nasice cement",Capture,2023,2026,2028,,Planned,,0.7,0.7,Cement,Dedicated storage,Geothermal CCS Croatia,Europe
GRTGaz CO2 backbone,1139,France,GRTGaz,Transport,2023,,2028,,Planned,,5,5,Transport,Dedicated storage,,Europe
Motor Oil Hellas (Iris Project),1140,Greece,Motor Oil,Capture,2023,,2029,,Planned,,0.858,0.858,Hydrogen or ammonia,Dedicated storage,,Europe
Ifestos Carbon Capture (Kamari plant),1141,Greece,Titan Group,Capture,2023,2026,2029,,Planned,,1.9,1.9,Cement,Dedicated storage,,Europe
Beremend cement factory,1142,Hungary,DDC,Capture,2023,,2032,,Planned,,0.315,0.315,Cement,Dedicated storage,,Europe
Orlen Lietuva,1143,Lithuania,Orlen Lietuva,Capture,2022,,2030,,Planned,,0.3,0.3,Other fuel transformation,Dedicated storage,"CCS Baltic Consortium, Klapeida terminal",Europe
AEB Amsterdam,1144,Netherlands,AEB Amsterdam,Full chain,2021,,2028,,Planned,,0.44,0.44,Power and heat,Dedicated storage,,Europe
ECOPLANTA (Tarragona),1146,Spain,"ECOPLANTA MOLECULAR RECYCLING
SOLUTIONS S.L",CCU,2021,,2027,,Planned,,0.34,0.34,Power and heat,Use,,Europe
RWE CCGT Stallingborough,1147,United Kingdom,RWE,Capture,2024,,,,Planned,,0.6,0.6,Power and heat,Dedicated storage,,Europe
S-Hub project (*capture sources under evaluation),1148,Singapore,"Singapore Economic Development Board, ExxonMobil, Asia Pacific Pte, Shell Singapore Pte",T&S,2024,,,,Planned,,2.5,2.5,T&S,Dedicated storage,,Other Asia Pacific
Valero 8 ethanol plants,1150,United States,"Valero, Summit carbon solutions",Capture,2024,,2030,,Planned,,3.1,3.1,Biofuels,Dedicated storage,Midwest carbon express,North America
"Weyerhauser-Lapis Energy CO2 sequestration (AR, LA, MS)",1151,United States,"Weyerhauser, Lapis Energy",Storage,2024,,,,Planned,,,,Storage,Dedicated storage,,North America
Aker CO280 Solution pulp and paper mill,1152,United States,"Aker Carbon Capture (SLB Capturi), CO280",Capture,2024,,2030,,Planned,,0.8,0.8,Other industry,Dedicated storage,,North America
BioCirc biogas plant,1153,Denmark,BioCirc CO2 ApS,Capture,2024,,2026,,Planned,,0.131,0.131,Biofuels,Dedicated storage,Stenlille project (CO2RYLUS),Europe
Capsol feasibility study waste to energy Germany,1154,Germany,"Capsol, unknown companies",Capture,2024,,,,Planned,,0.18,0.18,Power and heat,Unknown/unspecified,,Europe
Couldron cement plant,1155,United Kingdom,"Holcim Group (Aggregate Industries), Capsol",Capture,2024,,2030,,Cancelled,,0.6,0.6,Cement,Dedicated storage,Hynet or Northern Endurance,Europe
Climeworks Enova DAC+S plant,1156,Norway,"Climeworks, Enova",Capture,2024,,,,Planned,,,,DAC,Dedicated storage,,Europe
Lebec Net Zero Cement Plant project (CA),1160,United States,National Cement Company of California (NCC-California),Capture,2024,,2030,,Planned,,0.95,0.95,Cement,Dedicated storage,,North America
SECURE,1162,United States,T.EN Stone & Webster Process Technology,CCU,2024,,,,Planned,,,0.411,Chemicals,Use,,North America
Rana ferrosilicon smelter capture,1166,Norway,Elkem,Capture,2024,,,,Planned,1,1.5,1.5,Iron and steel,Dedicated storage,Rana CCS hub,Europe
Rana ferroglobe,1167,Norway,Ferroglobe,Capture,2024,,,,Planned,1,3.7,3.7,Iron and steel,Dedicated storage,Rana CCS hub,Europe
Sindal Biogas Hj rring Municipality,1169,Denmark,"Copenhagen Infrastructure Partners, KK Invest, Danish Bio Commodities",Capture,2024,,,,Planned,,,,Biofuels,Unknown/unspecified,,Europe
ExxonMobil Petrobras CCUS hub MoU (ES) (phase 2/extension of Santos basin EOR?),1170,Brazil,"Petrobras, ExxonMobil",Storage,2024,,,,Planned,2,,,Storage,Unknown/unspecified,,Central and South America
Climeworks Mammoth Project phase 2,1172,Iceland,"Climeworks, Carbfix",Full chain,2022,2022,2025,,Under construction,2,0.03,0.03,DAC,Dedicated storage,,Europe
Shell Netherlands Refineries heavy residue gasification CCS,1173,Netherlands,Shell,Full chain,2021,,2026,,Under construction,,0.75,0.75,Other fuel transformation,Dedicated storage,Porthos,Europe
Transport facility Nucor Direct Reduced Iron (LA),1176,United States,"ExxonMobil, Technip Energies, Turner Industries",Transport,2024,,,,Planned,,0.8,0.8,Transport,Unknown/unspecified,,North America
Carbon Fit four 22.000 cbm LCO2 carriers,1178,Unknown,"Hyundai Mipo Dockyard, Carbon Fit, Capital Gas, ERMA FIRST, Babcock",Transport,2024,,2026,,Planned,,,,Transport,Unknown/unspecified,,Unknown
CO2 Highway Europe (formerly known as Eluxys Equinor Belgium-Norway Trunk Line),1179,France-Belgium-Norway,"Equinor, GRTgaz, Fluxys",Transport,2024,2026,,,Planned,,18 - 30,18,Transport,Dedicated storage,,Europe
Prinos DAC hub,1180,Greece,"RepAir, EnEarth",Capture,2024,,2028,,Planned,,,,DAC,Dedicated storage,Prinos CO2 storage,Europe
Waste to Energy CCS in Edmonton,1181,Canada,"Canada Growth Found,  Gibson Energy, Varme Energy",Capture,2024,2025,2027,,Cancelled,,0.1,0.1,Power and heat,Unknown/unspecified,,North America
Kemi mill Rauma,1182,Finland,"Metsa Group, ANDRITZ",Capture,2024,,,,Planned,,4,4,Other industry,Unknown/unspecified,,Europe
"Strathcona oil sands (ALB, SK)",1184,Canada,"Strathcona Resources Ltd., Canada Growth Fund",Full chain,2024,,,,Planned,2,2,2,Other fuel transformation,Dedicated storage,,North America
Methanex Medicine Hat plant (ALB),1185,Canada,"Methanex Corporation, Entropy Inc.",Full chain,2024,,,,Planned,,0.146,0.146,Chemicals,EOR and use,,North America
Mustasaari waste-to-energy plant,1186,Finland,"ANDRITZ, Westenergy Ltd, CPC Finland Oy and funds managed by Prime Capital AG",CCU,2024,,,,Planned,,,,Power and heat,Use,,Europe
Milford Haven CO2 Project,1187,United Kingdom,"RWE, Dragon ",Transport,2024,,,,Planned,,,,Transport,Dedicated storage,,Europe
Middle Arm CO2 import terminal (NT),1188,Australia,"Northern Territory Government, Vopak ",Transport,2024,,,,Planned,,,,Transport,Unknown/unspecified,,Australia and New Zealand
Blue Horizon,1190,Oman,"Oman Shell, Wood, KBR",Full chain,2024,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,Middle East
Grandpuits DAChub,1191,France,"RepAir Carbon US Inc., C-Questra",Full chain,2024,,2030,,Planned,,0.1,0.1,DAC,Dedicated storage,,Europe
Yulin  geological storage research facility and CCUS demonstration project (Shaanxi),1192,People's Republic of China,Northwest University,Storage,2023,,,,Planned,,0.1,0.1,Storage,Dedicated storage,,Other Asia Pacific
K-Line Sumitomo Japan-US study,1194,Japan-United States,"K-Line, Sumitomo",T&S,2024,,,,Planned,,,,T&S,Unknown/unspecified,,Other Asia Pacific
JSW Steel's Vijayanagar site,1195,India,"BHP, Carbon Clean, JSW",Capture,2024,,2030,,Planned,,0.1,0.1,Iron and steel,Unknown/unspecified,,Other Asia Pacific
GE Vernova FEED studies,1198,Saudi Arabia,"ASHOMCo, GE Vernova",Capture,2024,,,,Planned,,,,Power and heat,Unknown/unspecified,,Middle East
Carbon Iceland Nordural plant,1199,Iceland,Carbon Iceland,CCU,2024,,,,Planned,,1,1,Other industry,Use,,Europe
Eramet Manganese Porsgrunn phase 2,1201,Norway,Eramet,Full chain,2024,,,,Planned,2,,,Other industry,Dedicated storage,,Europe
